iter	Logloss
0	0.6885779429
1	0.6835573487
2	0.677398423
3	0.6717063128
4	0.6655982066
5	0.6613883972
6	0.6565212961
7	0.6517344329
8	0.6467172008
9	0.6421580557
10	0.6366954739
11	0.6324541771
12	0.6295334121
13	0.6255308248
14	0.621891151
15	0.6185277519
16	0.615074287
17	0.610266734
18	0.6062579397
19	0.6024326389
20	0.5983797494
21	0.5944667105
22	0.5904400066
23	0.5865620759
24	0.5842915551
25	0.5809537597
26	0.5768602016
27	0.5726902849
28	0.5712597087
29	0.5688488201
30	0.5649586047
31	0.5625188795
32	0.5595818859
33	0.5566070686
34	0.5525740284
35	0.5501672777
36	0.5476167323
37	0.5446272381
38	0.5409482859
39	0.5382864354
40	0.5346456948
41	0.5315797127
42	0.5292818425
43	0.526550196
44	0.5238315453
45	0.5204954309
46	0.517427994
47	0.5154879618
48	0.5123188213
49	0.5095662262
50	0.5070804014
51	0.5058388144
52	0.5044306739
53	0.5027322284
54	0.5000672098
55	0.4980377585
56	0.4953195281
57	0.4937265364
58	0.4918858803
59	0.4898096182
60	0.4880575406
61	0.486162218
62	0.4845482778
63	0.4829722582
64	0.4809309103
65	0.4794387171
66	0.4783403106
67	0.4766834065
68	0.4755933729
69	0.4736987938
70	0.4719330739
71	0.4701869771
72	0.4678294942
73	0.4656339419
74	0.4644935091
75	0.4637047396
76	0.4615940805
77	0.4600758957
78	0.4579579951
79	0.4560868215
80	0.4549455158
81	0.4530028004
82	0.4519655907
83	0.4503266286
84	0.449048996
85	0.4470172494
86	0.4455928479
87	0.4440805144
88	0.4425341719
89	0.4413585663
90	0.4395505937
91	0.4383928331
92	0.4373708175
93	0.4361719034
94	0.4349493253
95	0.4333009235
96	0.4325994071
97	0.4319709519
98	0.4312830133
99	0.430427422
100	0.4289864362
101	0.4274949219
102	0.4265120555
103	0.4256286621
104	0.4247476287
105	0.4234296508
106	0.4219466387
107	0.4208774243
108	0.4201442912
109	0.4189651619
110	0.4179803234
111	0.4172594749
112	0.4165364928
113	0.4152028359
114	0.4144137431
115	0.413061045
116	0.4121020042
117	0.4107402543
118	0.4094339144
119	0.4088949107
120	0.4080459142
121	0.4072009911
122	0.4065350678
123	0.40528236
124	0.4043661538
125	0.4033696773
126	0.4023919186
127	0.4014132225
128	0.4005503897
129	0.4001400834
130	0.399034985
131	0.3979103606
132	0.3974748062
133	0.3964468423
134	0.3954580275
135	0.3944269277
136	0.3934851501
137	0.3927986339
138	0.3918752185
139	0.3911434432
140	0.3903926914
141	0.3894369481
142	0.3888352604
143	0.3882269132
144	0.3874599004
145	0.3868974589
146	0.3863364074
147	0.3855909574
148	0.3846238993
149	0.3838023816
150	0.3832065453
151	0.3828280174
152	0.3824438968
153	0.3818302155
154	0.380771443
155	0.3795648349
156	0.3792390015
157	0.3785468603
158	0.3779886537
159	0.3771960048
160	0.3767492973
161	0.37602777
162	0.3749034688
163	0.3744319657
164	0.3738449226
165	0.3732563601
166	0.3723676972
167	0.3716679266
168	0.3713113817
169	0.3705272351
170	0.3697764833
171	0.3693876105
172	0.3690114102
173	0.3686802751
174	0.3676166534
175	0.3670510114
176	0.366411791
177	0.3661882433
178	0.3659512795
179	0.3655511242
180	0.3650660757
181	0.3640594482
182	0.3636200468
183	0.3632546764
184	0.3626466848
185	0.3622849675
186	0.3616424496
187	0.3611221313
188	0.3604425657
189	0.359984899
190	0.3590254703
191	0.3587724395
192	0.3583531137
193	0.3577103696
194	0.3569672471
195	0.3566535691
196	0.3560597048
197	0.3555103884
198	0.3551612466
199	0.3546020379
