iter	Passed	Remaining
0	0	80
1	0	77
2	1	71
3	1	67
4	1	65
5	1	63
6	2	62
7	2	61
8	2	59
9	2	56
10	3	54
11	3	54
12	3	54
13	4	54
14	4	54
15	4	53
16	4	53
17	5	53
18	5	52
19	5	51
20	6	51
21	6	50
22	6	49
23	6	49
24	7	49
25	7	48
26	7	48
27	7	48
28	8	47
29	8	47
30	8	47
31	8	46
32	9	46
33	9	45
34	9	45
35	9	44
36	10	44
37	10	43
38	10	43
39	10	42
40	10	42
41	11	41
42	11	41
43	11	40
44	11	40
45	11	40
46	12	39
47	12	39
48	12	38
49	12	38
50	13	38
51	13	37
52	13	37
53	13	36
54	13	36
55	14	36
56	14	35
57	14	35
58	14	35
59	14	34
60	15	34
61	15	33
62	15	33
63	15	33
64	15	32
65	16	32
66	16	32
67	16	31
68	16	31
69	16	31
70	16	30
71	17	30
72	17	30
73	17	29
74	17	29
75	17	29
76	18	28
77	18	28
78	18	28
79	18	28
80	19	27
81	19	27
82	19	27
83	19	27
84	19	26
85	20	26
86	20	26
87	20	25
88	20	25
89	20	25
90	21	25
91	21	25
92	21	25
93	22	25
94	22	24
95	22	24
96	22	24
97	23	24
98	23	23
99	23	23
100	23	23
101	24	23
102	24	23
103	24	22
104	25	22
105	25	22
106	25	22
107	26	22
108	26	22
109	26	21
110	26	21
111	27	21
112	27	21
113	27	21
114	28	20
115	28	20
116	28	20
117	29	20
118	29	20
119	29	19
120	29	19
121	30	19
122	30	19
123	30	18
124	30	18
125	30	18
126	31	17
127	31	17
128	31	17
129	31	17
130	31	16
131	32	16
132	32	16
133	32	16
134	32	15
135	32	15
136	33	15
137	33	15
138	33	14
139	33	14
140	34	14
141	34	13
142	34	13
143	34	13
144	34	13
145	35	12
146	35	12
147	35	12
148	35	12
149	35	11
150	36	11
151	36	11
152	36	11
153	36	10
154	37	10
155	37	10
156	37	10
157	37	10
158	38	9
159	38	9
160	38	9
161	38	9
162	39	8
163	39	8
164	39	8
165	39	8
166	40	7
167	40	7
168	40	7
169	40	7
170	41	6
171	41	6
172	41	6
173	41	6
174	41	5
175	42	5
176	42	5
177	42	5
178	42	5
179	42	4
180	43	4
181	43	4
182	43	4
183	43	3
184	43	3
185	44	3
186	44	3
187	44	2
188	44	2
189	44	2
190	45	2
191	45	1
192	45	1
193	45	1
194	45	1
195	46	0
196	46	0
197	46	0
198	46	0
199	46	0
